tier	variableName	variable	segment	description
Segment tier	nSeg	number	non-pause	number of segments
Segment tier	rateSeg	rate	non-pause	rate of segments
Segment tier	meanSeg	mean	non-pause	mean duration of segment
Syllable tier	nSyl	number	non-pause	number of syllables
Syllable tier	rateSyl	rate	non-pause	rate of syllables
Syllable tier	meanSyl	mean	non-pause	mean syllable duration
Syllable tier	meanSylLn	meanLn	non-pause	mean ln transformed syllabel durations
Syllable tier	deltaSyl	stdev	non-pause	standard deviation of syllable durations
Syllable tier	deltaSylLn	stdevLn	non-pause	standard deviaiion of ln normalized syllable durations
Syllable tier	varcoSyl	varco	non-pause	coefficient of variation of deltaSyl
Syllable tier	rPVI-Syl	rPVI	non-pause	raw Pairwise Variability Index of Syllable durations
Syllable tier	nPVI-Syl	nPVI	non-pause	normalized Pairwise Variability Index of Syllable durations
CV interval tier	nC	number	c	number of C intervals
CV interval tier	rateC	rate	c	rate of C intervals
CV interval tier	meanC	mean	c	mean duration of C interval
CV interval tier	meanCLn	meanLn	c	mean duration of Ln normalized C interval durations
CV interval tier	deltaC	stdev	c	standard deviation of C intervals
CV interval tier	deltaCLn	stdevLn	c	standard deviation of ln normalized C intervals
CV interval tier	varcoC	varco	c	variation coefficient of deltaC
CV interval tier	rPVI_C	rPVI	c	raw Pairwise Variability Index for C intervals
CV interval tier	nPVI_C	nPVI	c	normalized Pairwise Variability Index for C intervals
CV interval tier	nV	number	v	number of V intervals
CV interval tier	rateV	rate	v	rate of V intervals
CV interval tier	meanV	mean	v	mean duration of V interval
CV interval tier	meanVLn	meanLn	v	mean duration of ln transformed V intervals
CV interval tier	deltaV	stdev	v	standard deviation of V intervals
CV interval tier	deltaVLn	stdevLn	v	standard deviation of ln normalized V intervals
CV interval tier	varcoV	varco	v	coefficient of variation of deltaV
CV interval tier	rPVI_V	rPVI	v	raw Pairwise Variability Index for V intervals
CV interval tier	nPVI_V	nPVI	v	normalized Pairwise Variability Index for V intervals
CV interval tier	percentV	percentOfTotal	 v	percentage over which speech is vocalic
CV interval tier	nCV	number	non-pause	number of C or V intervals
CV interval tier	rateCV	rate	non-pause	rate of C or V intervals
CV interval tier	meanCV	mean	non-pause	mean duration of C or V interval
CV interval tier	meanCVLn	meanLn	non-pause	mean duration of Ln normalized C or V interval durations
CV interval tier	deltaCV	stdev	non-pause	standard deviation of C or V intervals
CV interval tier	deltaCVLn	stdevLn	non-pause	standard deviation of ln normalized C or V intervals
CV interval tier	varcoCV	varco	non-pause	variation coefficient of deltaCV
CV interval tier	rPVI_CV	rPVI	non-pause	raw Pairwise Variability Index for C intervals
CV interval tier	nPVI_CV	nPVI	non-pause	normalized Pairwise Variability Index for C intervals
CV segment tier	nCon	number	c	number of consonants
CV segment tier	rateCon	rate	c	rate of consonants
CV segment tier	meanCon	mean	c	mean duration of consonants
